"","ID","Type","Recovery","SacTime","Sodium","Potassium","tCO2","CK","Glucose","CA","BUN","AST","TBIL","ALB","TP","GLOB","WBC","AbsLYM","AbsMON","AbsNEU","LYp","MOp","NEp","RBC","HGB","HCT","MCV","MCH","MCHC","RDWc","PLT","PCT","MPV","PDWc","log_CK","log_AST"
"1","m190061","EHS","hit1","min30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","m190074","EHS","hit1","min30",161,5.2,16,1073,65,11,63,1003,0.4,5.1,6.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697.82137426307,691.075078796194
"3","m190105","EHS","hit1","min30",167,5.3,15,503,85,11.4,68,342,0.5,5,6.8,1.8,1.81,1.57,0.05,0.18,87.1,3,9.9,11.47,17.2,48.03,42,15,35.8,18,661,0.38,5.7,29.1,622.059017009974,583.481073706261
"4","m190118","EHS","hit1","min30",163,4.5,18,376,84,11,80,315,0.4,5,7,2,1.23,0.98,0.06,0.19,79.2,5.1,15.7,12.02,16.8,49.4,41,13.9,33.9,17.8,897,0.52,5.8,30.2,592.958914338989,575.257263882563
"5","m190125","EHS","hit1","min30",161,4.8,18,1140,84,11.3,81,382,0.3,5.3,6.6,1.3,1.56,1.32,0.04,0.2,84.8,2.5,12.7,12.08,16.7,49.11,41,13.8,34.1,17.5,759,0.42,5.5,29.1,703.878354138854,594.542060860658
"6","m190163","EHS","hit1","min30",159,3.9,13,769,90,10.9,79,445,0.4,4.7,6.4,1.7,2.42,2.07,0.08,0.27,85.6,3.3,11.1,10.38,16.4,41.36,40,15.8,39.5,17.5,549,0.31,5.6,29.6,664.509096950564,609.807428216624
"7","m190242","EHS","hit1","min30",161,4.1,15,647,79,11.4,67,385,0.3,4.9,7,2.2,1.29,1.15,0.07,0.07,89.4,5.3,5.3,12.47,18.2,52.02,42,14.6,34.9,18.1,859,0.48,5.6,29.6,647.23462945009,595.324333428778
"8","m200025","EHS","hit1","min30",158,4.6,20,622,66,11.2,65,1120,0.4,4.9,6.7,1.8,1.12,0.97,0.05,0.1,87,4,9,10.99,16.4,44.74,41,14.9,36.6,17.5,663,0.36,5.4,29.1,643.294009273918,702.108396428914
"9","m200044","EHS","hit1","min30",161,4.8,21,352,76,11,71,516,0.3,4.8,6.6,1.8,2.23,1.89,0.1,0.25,84.4,4.5,11.1,11.55,17.1,46.99,41,14.8,36.3,17.5,658,0.37,5.7,29.6,586.36311755981,624.610676548156
"10","m190062","EHS","hit1","hr3",154,4.8,17,761,137,10.2,48,774,0.3,4.5,5.8,1.3,1.39,0.48,0.16,0.75,34.6,11.6,53.8,10.15,15.3,41.46,41,15.1,36.9,16.6,647,0.38,5.8,29.1,663.463335786169,665.157187358973
"11","m190075","EHS","hit1","hr3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,1.63,0.33,1.62,45.5,9.2,45.3,10.89,15.6,44.87,41,14.3,34.7,16.9,582,0.33,5.7,30.2,NA,NA
"12","m190106","EHS","hit1","hr3",155,5.6,17,1079,178,11.1,45,403,0.2,4.6,5.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698.378996525813,599.893656194668
"13","m190119","EHS","hit1","hr3",155,5.8,12,739,234,10.3,54,754,0.3,4,5.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660.52979209482,662.539236800796
"14","m190126","EHS","hit1","hr3",156,4.8,17,657,160,11.9,57,539,0.4,4.9,6.2,1.3,1.31,0.43,0.1,0.79,32.4,7.5,60.1,11.63,16.3,47.87,41,14,34.1,16.6,783,0.43,5.6,29.1,648.768401848461,628.9715570909
"15","m190139","EHS","hit1","hr3",156,5.8,15,711,177,11,46,847,0.4,4.7,6.1,1.4,1.51,0.46,0.04,1.01,30.3,2.8,66.9,10.85,15.8,46.2,43,14.6,34.2,18,645,0.37,5.7,29.6,656.667242980324,674.170069465206
"16","m190151","EHS","hit1","hr3",153,5.5,16,2046,234,10.5,53,641,0.3,4.5,5.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.364194651157,646.302945692067
"17","m200035","EHS","hit1","hr3",155,5.1,18,1279,147,10.4,53,1550,0.4,4.2,5.6,1.5,8.62,4.85,0.75,3.02,56.2,8.7,35.1,10.08,14.5,40.82,40,14.4,35.5,16.9,156,0.08,5.3,30.7,715.383380157884,734.601020991329
"18","m200045","EHS","hit1","hr3",157,4.8,15,681,156,11,73,425,0.5,4.5,6.2,1.7,2.34,0.64,0.19,1.51,27.4,8.2,64.4,11.33,16.2,45.86,40,14.3,35.2,16.9,508,0.29,5.7,30.2,652.356230614951,605.208916892442
"19","m190004","EHS","hit1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.76,10.82,0.72,3.22,73.3,4.9,21.8,8.44,13.1,35.69,42,15.5,36.7,16.8,172,0.11,6.3,36.6,NA,NA
"20","m190010","EHS","hit1","d1",147,4.8,21,240,228,9.7,21,80,0.5,4,4.8,0.8,14.3,11.41,1.74,1.16,79.7,12.1,8.1,8.56,12.7,36.22,42,14.8,35,16.3,147,0.11,7.4,38.9,548.063892334199,438.202663467388
